Emote,Platform,Format,ID,URL
PepeLaugh,bttv-shared,gif,610aab1576ea4e2b9f75523f,https://betterttv.com/emotes/610aab1576ea4e2b9f75523f
unDrake,bttv-shared,gif,60ff4bba2d1eba5400d1be45,https://betterttv.com/emotes/60ff4bba2d1eba5400d1be45
Jammies,bttv-shared,gif,5f77c654ccde1f4a870c05bf,https://betterttv.com/emotes/5f77c654ccde1f4a870c05bf
ppPoof,bttv-shared,gif,5f78f8602bd46e4a86b0b04a,https://betterttv.com/emotes/5f78f8602bd46e4a86b0b04a
ppFoop,bttv-shared,gif,60900adf39b5010444d0ad92,https://betterttv.com/emotes/60900adf39b5010444d0ad92
WineTime,bttv-shared,gif,6154dd7ab63cc97ee6d3f99f,https://betterttv.com/emotes/6154dd7ab63cc97ee6d3f99f
PagMan,bttv-shared,png,614effcfb63cc97ee6d337c7,https://betterttv.com/emotes/614effcfb63cc97ee6d337c7
Clap,bttv-shared,gif,61558869b63cc97ee6d40b86,https://betterttv.com/emotes/61558869b63cc97ee6d40b86
VeryPog,bttv-shared,gif,5ff7cb2461ae300c6c193d35,https://betterttv.com/emotes/5ff7cb2461ae300c6c193d35
MODS,bttv-shared,gif,60b0139ff8b3f62601c34450,https://betterttv.com/emotes/60b0139ff8b3f62601c34450
forsenPls,bttv-shared,gif,6156d66fb63cc97ee6d4387e,https://betterttv.com/emotes/6156d66fb63cc97ee6d4387e
gachiBASS,bttv-shared,gif,6156d5d3b63cc97ee6d43878,https://betterttv.com/emotes/6156d5d3b63cc97ee6d43878
WAYTOODANK,bttv-shared,gif,615766e9b63cc97ee6d44f95,https://betterttv.com/emotes/615766e9b63cc97ee6d44f95
Kissahomie,bttv-shared,gif,60a3e8bb67644f1d67e8886e,https://betterttv.com/emotes/60a3e8bb67644f1d67e8886e
dankLurk,bttv-shared,gif,615a49f5b63cc97ee6d4b2cb,https://betterttv.com/emotes/615a49f5b63cc97ee6d4b2cb
GachiPls,bttv-shared,gif,58868aa5afc2ff756c3f495e,https://betterttv.com/emotes/58868aa5afc2ff756c3f495e
TeaTime,bttv-shared,gif,6156d4ecb63cc97ee6d43864,https://betterttv.com/emotes/6156d4ecb63cc97ee6d43864
Bedge,bttv-shared,png,608b335539b5010444d08c55,https://betterttv.com/emotes/608b335539b5010444d08c55
Wokege,bttv-shared,png,60f45b4d2d1eba5400d03fa1,https://betterttv.com/emotes/60f45b4d2d1eba5400d03fa1
AlienPls3,bttv-shared,gif,6161c169b63cc97ee6d58439,https://betterttv.com/emotes/6161c169b63cc97ee6d58439
GoodMorning,bttv-shared,png,6055e5e0306b602acc5a06e2,https://betterttv.com/emotes/6055e5e0306b602acc5a06e2
pepoJS,bttv-shared,gif,5f1899a9fe85fb4472d1145a,https://betterttv.com/emotes/5f1899a9fe85fb4472d1145a
nymnCorn,bttv-shared,gif,6158b488b63cc97ee6d47d5a,https://betterttv.com/emotes/6158b488b63cc97ee6d47d5a
KKonaW,ffz,png,229486,https://www.frankerfacez.com/emoticon/229486
KKomrade,ffz,png,145916,https://www.frankerfacez.com/emoticon/145916
FeelsStrongMan,ffz,png,64210,https://www.frankerfacez.com/emoticon/64210
BOGGED,ffz,png,274629,https://www.frankerfacez.com/emoticon/274629
DICKS,ffz,png,19972,https://www.frankerfacez.com/emoticon/19972
WideEsfando,ffz,png,360658,https://www.frankerfacez.com/emoticon/360658
PepegaPhone,ffz,png,312720,https://www.frankerfacez.com/emoticon/312720
